trial_number,params,pr_auc_mean,pr_auc_std,training_time,objective_value
32,"{'n_estimators': 422, 'learning_rate': 0.09569927633431763, 'num_leaves': 84, 'max_depth': 12, 'feature_fraction': 0.7410626291510736, 'bagging_fraction': 0.8198292615738052, 'bagging_freq': 6, 'min_data_in_leaf': 47, 'lambda_l1': 1.0617825932739273, 'lambda_l2': 4.7076471987028246, 'min_split_gain': 0.2698018002515294, 'min_child_weight': 0.04384136101764819}",0.6174407415486142,0.018848332306282533,15.497452974319458,0.6174407415486142
33,"{'n_estimators': 462, 'learning_rate': 0.13305412290021323, 'num_leaves': 93, 'max_depth': 10, 'feature_fraction': 0.6268385763419742, 'bagging_fraction': 0.7481476703892525, 'bagging_freq': 8, 'min_data_in_leaf': 28, 'lambda_l1': 1.430641288565949, 'lambda_l2': 5.574701216639798, 'min_split_gain': 0.35041357827480024, 'min_child_weight': 72.14834651488356}",0.5545825626578303,0.013563560263381624,10.31862998008728,0.5545825626578303
34,"{'n_estimators': 413, 'learning_rate': 0.08547483569885853, 'num_leaves': 77, 'max_depth': 7, 'feature_fraction': 0.6953583373327852, 'bagging_fraction': 0.6741964511446396, 'bagging_freq': 7, 'min_data_in_leaf': 56, 'lambda_l1': 0.08440288682811944, 'lambda_l2': 8.525740351939694, 'min_split_gain': 0.1942283843453576, 'min_child_weight': 0.006066677726181928}",0.610014268326323,0.01589922194533961,14.048217296600342,0.610014268326323
35,"{'n_estimators': 479, 'learning_rate': 0.18322215967841934, 'num_leaves': 69, 'max_depth': 12, 'feature_fraction': 0.7548066985583669, 'bagging_fraction': 0.9174572101153884, 'bagging_freq': 9, 'min_data_in_leaf': 35, 'lambda_l1': 0.6620526359818283, 'lambda_l2': 2.3646277424269213, 'min_split_gain': 0.2844169408369051, 'min_child_weight': 0.0022375448570793456}",0.6180471743613384,0.011396826869184216,8.946013450622559,0.6180471743613384
36,"{'n_estimators': 438, 'learning_rate': 0.06309129411051301, 'num_leaves': 94, 'max_depth': 9, 'feature_fraction': 0.832798015872666, 'bagging_fraction': 0.9567499708366038, 'bagging_freq': 6, 'min_data_in_leaf': 12, 'lambda_l1': 2.150729286323129, 'lambda_l2': 4.192910582215445, 'min_split_gain': 0.11409943349094447, 'min_child_weight': 0.06024574321053414}",0.6151228087932213,0.013304753792946171,19.807928800582886,0.6151228087932213
37,"{'n_estimators': 111, 'learning_rate': 0.14830121269329447, 'num_leaves': 84, 'max_depth': 6, 'feature_fraction': 0.9026553332287294, 'bagging_fraction': 0.8522415957490175, 'bagging_freq': 5, 'min_data_in_leaf': 26, 'lambda_l1': 5.702727039494375, 'lambda_l2': 3.153894481698819, 'min_split_gain': 0.681942348636192, 'min_child_weight': 0.012752021582155928}",0.5686271879040427,0.00786766832578052,5.466824293136597,0.5686271879040427
38,"{'n_estimators': 249, 'learning_rate': 0.11797051509927478, 'num_leaves': 75, 'max_depth': 11, 'feature_fraction': 0.6104140582973043, 'bagging_fraction': 0.7279300042529447, 'bagging_freq': 4, 'min_data_in_leaf': 46, 'lambda_l1': 9.911816784669863, 'lambda_l2': 6.475158122666777, 'min_split_gain': 0.4062684709215637, 'min_child_weight': 0.0013845930365223736}",0.5671355374512695,0.006497465030247332,8.466952085494995,0.5671355374512695
39,"{'n_estimators': 452, 'learning_rate': 0.22921908115469894, 'num_leaves': 86, 'max_depth': 3, 'feature_fraction': 0.6925311688911892, 'bagging_fraction': 0.5373386465912339, 'bagging_freq': 8, 'min_data_in_leaf': 16, 'lambda_l1': 0.7107646120034413, 'lambda_l2': 5.444122968078279, 'min_split_gain': 0.3075348630896807, 'min_child_weight': 0.1888246161019933}",0.5784970531321413,0.004987562778894136,7.048969745635986,0.5784970531321413
40,"{'n_estimators': 393, 'learning_rate': 0.050055596553978, 'num_leaves': 71, 'max_depth': 8, 'feature_fraction': 0.5083251692033147, 'bagging_fraction': 0.963823603217864, 'bagging_freq': 7, 'min_data_in_leaf': 99, 'lambda_l1': 1.4057183521300955, 'lambda_l2': 1.5290652744492568, 'min_split_gain': 0.06936786197535563, 'min_child_weight': 0.003027360953475972}",0.6114002140778833,0.009579005775617624,14.363317012786865,0.6114002140778833
41,"{'n_estimators': 454, 'learning_rate': 0.1147981549136572, 'num_leaves': 80, 'max_depth': 8, 'feature_fraction': 0.7143995561628155, 'bagging_fraction': 0.797772929277499, 'bagging_freq': 7, 'min_data_in_leaf': 34, 'lambda_l1': 0.07698897231668765, 'lambda_l2': 4.759078198108478, 'min_split_gain': 0.21273470131304886, 'min_child_weight': 33.04461922420809}",0.5753159971917897,0.0050307525095171736,11.913597583770752,0.5753159971917897
42,"{'n_estimators': 478, 'learning_rate': 0.1497827048359324, 'num_leaves': 79, 'max_depth': 7, 'feature_fraction': 0.7695223277711059, 'bagging_fraction': 0.8112400505019256, 'bagging_freq': 7, 'min_data_in_leaf': 37, 'lambda_l1': 0.6281316788053548, 'lambda_l2': 4.323725990328256, 'min_split_gain': 0.26809671704179544, 'min_child_weight': 0.0036348709909759763}",0.6117711231625654,0.010235141498157851,12.40050458908081,0.6117711231625654
43,"{'n_estimators': 500, 'learning_rate': 0.08439724249304643, 'num_leaves': 95, 'max_depth': 10, 'feature_fraction': 0.66330967876004, 'bagging_fraction': 0.7737481831037538, 'bagging_freq': 6, 'min_data_in_leaf': 32, 'lambda_l1': 1.1110512380964797, 'lambda_l2': 6.010365404800912, 'min_split_gain': 0.24826544315656346, 'min_child_weight': 0.002241055549698664}",0.6099768419523053,0.015086408737062308,16.171684741973877,0.6099768419523053
44,"{'n_estimators': 431, 'learning_rate': 0.11481410622992541, 'num_leaves': 83, 'max_depth': 12, 'feature_fraction': 0.7257740699376911, 'bagging_fraction': 0.9119892299781243, 'bagging_freq': 9, 'min_data_in_leaf': 39, 'lambda_l1': 0.34071178007111746, 'lambda_l2': 2.2877077861019393, 'min_split_gain': 0.3321300481608781, 'min_child_weight': 0.006542026151079771}",0.6186902094533516,0.0094347978385856,11.134434223175049,0.6186902094533516
45,"{'n_estimators': 453, 'learning_rate': 0.0675014558166894, 'num_leaves': 75, 'max_depth': 9, 'feature_fraction': 0.6976847546443408, 'bagging_fraction': 0.7077304351956174, 'bagging_freq': 8, 'min_data_in_leaf': 20, 'lambda_l1': 2.7703177949052975, 'lambda_l2': 6.880003337953452, 'min_split_gain': 0.1367769438331483, 'min_child_weight': 0.01705669411489365}",0.6103023707200457,0.011934634805183185,18.008450031280518,0.6103023707200457
46,"{'n_estimators': 359, 'learning_rate': 0.0199718806661403, 'num_leaves': 18, 'max_depth': 6, 'feature_fraction': 0.7710932006927169, 'bagging_fraction': 0.7398331547658158, 'bagging_freq': 3, 'min_data_in_leaf': 58, 'lambda_l1': 0.5195075983790831, 'lambda_l2': 5.103022687002633, 'min_split_gain': 0.39063832929279063, 'min_child_weight': 0.028278267888925512}",0.5668295973988157,0.010921496749660455,11.213186025619507,0.5668295973988157
47,"{'n_estimators': 404, 'learning_rate': 0.17861611923219634, 'num_leaves': 89, 'max_depth': 14, 'feature_fraction': 0.6483882647717658, 'bagging_fraction': 0.8688865049449246, 'bagging_freq': 6, 'min_data_in_leaf': 44, 'lambda_l1': 1.0739647397556689, 'lambda_l2': 4.220515677710587, 'min_split_gain': 0.9985364655754747, 'min_child_weight': 0.009985127182080632}",0.6034675834271167,0.007819964857722126,6.876471996307373,0.6034675834271167
48,"{'n_estimators': 306, 'learning_rate': 0.0983994360833474, 'num_leaves': 35, 'max_depth': 11, 'feature_fraction': 0.8156641170151528, 'bagging_fraction': 0.8245397076167824, 'bagging_freq': 7, 'min_data_in_leaf': 32, 'lambda_l1': 0.5251188071889736, 'lambda_l2': 3.3904964590445683, 'min_split_gain': 0.17542975526039095, 'min_child_weight': 0.0018657682091967574}",0.6166355387963881,0.009218936964373658,14.711684942245483,0.6166355387963881
49,"{'n_estimators': 383, 'learning_rate': 0.0104100632192963, 'num_leaves': 72, 'max_depth': None, 'feature_fraction': 0.9981774816940708, 'bagging_fraction': 0.8671040829214067, 'bagging_freq': 9, 'min_data_in_leaf': 69, 'lambda_l1': 2.823843057770881, 'lambda_l2': 0.7104969608307403, 'min_split_gain': 0.06244169560161503, 'min_child_weight': 0.0010245292071695764}",0.5682265322443555,0.01110138623216452,26.590582609176636,0.5682265322443555
